DEPTH,DENSITY,DENPOR,GAMMA,NEUTRON,INDEX
m,g/m3,%,API,API,Rock types
621,2.77,9.44,5.22,368.19,Basalt
621.5,2.72,12,6.06,395.59,Basalt
622,2.65,15.36,7,431.44,Basalt
622.5,2.6,17.98,7.26,467.11,Basalt
623,2.59,18.53,6.79,498.5,Basalt
623.5,2.62,17.17,6.09,525.09,Basalt
624,2.64,15.77,5.71,544.57,Basalt
624.5,2.65,15.64,5.84,555.68,Basalt
625,2.63,16.61,6,560.36,Basalt
625.5,2.61,17.34,5.98,563.67,Basalt
626,2.62,16.84,5.75,567.63,Basalt
626.5,2.66,14.84,5.85,571.52,Basalt
627,2.72,11.78,6.44,572.68,Basalt
627.5,2.79,8.32,7.26,564.93,Basalt
628,2.85,5.28,7.79,540.45,Basalt
637.5,2.92,1.68,7.43,613.73,Basalt
638,2.85,4.98,6.89,625.48,Basalt
638.5,2.78,8.55,6.37,643.9,Basalt
639,2.73,11.44,6.08,675.77,Basalt
639.5,2.7,12.94,6.03,720,Basalt
640,2.7,12.73,6.02,767.31,Basalt
640.5,2.73,11.24,5.9,802.68,Basalt
641,2.76,9.52,5.64,813.77,Basalt
641.5,2.77,9.12,5.74,796.97,Basalt
642,2.74,10.7,6.38,760.61,Basalt
642.5,2.69,13.1,7.52,719.43,Basalt
643,2.65,15.3,8.53,687.04,Basalt
643.5,2.62,16.69,9.05,667.32,Basalt
644,2.61,17.2,9.08,653.03,Basalt
644.5,2.63,16.3,8.94,630.39,Basalt
645,2.68,14.02,9.16,586.74,Basalt
645.5,2.74,10.81,9.95,520.43,Basalt
646,2.81,7.36,10.86,446.67,Basalt
646.5,2.87,3.83,11,392.39,Basalt
647,2.93,0.76,9.98,374.93,Basalt
649,2.92,1.37,9.68,417.4,Basalt
649.5,2.89,2.92,10.44,393.25,Basalt
650,2.86,4.6,10.7,371.37,Basalt
650.5,2.82,6.72,10.87,357.19,Basalt
651,2.75,10.04,11.59,347.55,Basalt
651.5,2.66,14.63,12.63,342.24,Basalt
652,2.56,19.99,13.37,347.9,Basalt
652.5,2.45,25.34,13.1,369.91,Basalt
653,2.37,29.74,11.57,411.14,Basalt
653.5,2.31,32.69,9.43,470.47,Basalt
654,2.27,34.66,7.45,542.38,Basalt
654.5,2.25,36.13,6.7,609.36,Basalt
655,2.23,36.78,7.04,650.99,Basalt
655.5,2.27,35.08,7.9,655.04,Basalt
656,2.36,30.28,8.52,620.45,Basalt
656.5,2.51,22.79,8.85,557.66,Basalt
657,2.66,14.82,9,484.53,Basalt
657.5,2.77,9.42,8.99,422.3,Basalt
658,2.79,8.21,9.05,381.75,Basalt
658.5,2.75,10.14,9.34,352.77,Basalt
659,2.69,13.38,9.73,321.55,Basalt
659.5,2.61,17.26,9.92,284.7,Basalt
660,2.54,20.9,10.06,254.62,Basalt
660.5,2.49,23.54,10.38,240.21,Basalt
661,2.45,25.48,10.98,240.45,Claystone
661.5,2.4,28.33,11.86,248.49,Claystone
662,2.3,33.11,12.77,259.64,Claystone
662.5,2.19,38.94,13.19,275.13,Basalt
663,2.09,44.32,12.48,298.38,Basalt
663.5,2.01,48.32,11.19,330.32,Basalt
664,1.97,50.54,10.13,364.73,Basalt
664.5,1.97,50.34,9.87,392.65,Basalt
665,2.03,47.26,9.79,407.95,Basalt
665.5,2.14,41.38,9.63,409.07,Basalt
666,2.29,34.07,9.46,397.73,Basalt
666.5,2.4,28,9.42,379.02,Basalt
667,2.45,25.41,9.4,361.05,Basalt
667.5,2.44,26,9.1,349.78,Basalt
668,2.4,28.01,8.66,344.38,Basalt
668.5,2.36,29.91,8.54,337.01,Basalt
669,2.36,30.25,9.24,320.3,Basalt
669.5,2.41,27.75,10.7,293.87,Basalt
670,2.52,22.33,12.3,264.14,Basalt
670.5,2.65,15.33,13.39,239.91,Basalt
671,2.78,8.95,13.96,225.02,Basalt
671.5,2.86,4.6,13.97,219.49,Basalt
672,2.92,1.64,13.7,221.09,Basalt
675,2.92,1.41,10.34,254.87,Basalt
675.5,2.9,2.51,10.56,253.54,Basalt
676,2.89,2.75,10.63,262.01,Basalt
676.5,2.89,2.94,10.13,292.92,Basalt
677,2.87,3.98,8.94,354.96,Basalt
677.5,2.85,4.89,7.48,441.09,Basalt
678,2.86,4.5,6.34,524.8,Basalt
678.5,2.9,2.78,5.74,578.94,Basalt
679,2.93,1.06,5.73,595.73,Basalt
682,2.95,0.15,7,581.85,Basalt
682.5,2.94,0.4,6.89,598.31,Basalt
683,2.94,0.57,6.5,629.15,Basalt
683.5,2.93,0.96,5.93,667.56,Basalt
684,2.93,1.16,5.34,698.65,Basalt
684.5,2.93,0.78,5.15,713.58,Basalt
685,2.93,0.94,5.58,713.99,Basalt
685.5,2.88,3.68,6.38,711.1,Basalt
686,2.75,10.31,7.15,713.04,Basalt
686.5,2.6,17.98,7.66,720.14,Basalt
687,2.5,23.04,8.05,728.85,Basalt
687.5,2.48,23.88,8.47,736.24,Basalt
688,2.53,21.62,8.73,743.3,Basalt
688.5,2.59,18.66,8.54,748.35,Basalt
689,2.61,17.43,8.14,750.93,Basalt
689.5,2.59,18.38,7.93,750.72,Basalt
690,2.56,19.74,8.24,750.89,Basalt
690.5,2.57,19.75,8.66,754.42,Basalt
691,2.6,17.73,8.8,760.14,Basalt
691.5,2.67,14.46,8.58,760.56,Basalt
692,2.73,11.34,8.51,741.61,Basalt
692.5,2.76,9.68,9.41,687.21,Basalt
693,2.78,8.99,11.51,594.01,Sandstone
693.5,2.8,7.82,13.96,481.93,Sandstone
694,2.85,5.35,15.38,386.77,Sandstone
694.5,2.9,2.36,15.02,335.76,Basalt
697,2.95,0.12,8.62,384.43,Basalt
697.5,2.94,0.77,7.86,393.46,Basalt
698,2.94,0.42,7.43,407.12,Basalt
701.5,2.89,2.95,12.55,451.99,Basalt
702,2.75,10.21,12.32,480.03,Basalt
702.5,2.59,18.33,11.4,519.68,Basalt
703,2.47,24.89,10.51,555.66,Basalt
703.5,2.38,29.48,10.05,581.31,Basalt
704,2.31,33.08,10.13,599.25,Basalt
704.5,2.24,36.43,10.51,615.74,Basalt
705,2.19,39.24,10.87,633.62,Basalt
705.5,2.15,40.81,10.88,650.64,Basalt
706,2.14,41.56,10.62,661.57,Basalt
706.5,2.1,43.69,10.21,661.16,Basalt
707,1.98,49.64,9.86,646.68,Basalt
707.5,1.83,57.3,10.04,617.46,Basalt
708,1.73,62.35,11.85,574,Basalt
708.5,1.72,62.9,16.45,517.22,Basalt
709,1.79,59.44,24.47,450.79,Basalt
709.5,1.91,53.43,34.75,384.04,Sandstone
710,2.05,46.49,44.4,329.7,Sandstone
710.5,2.17,40.16,50.61,296.72,Sandstone
711,2.27,35.03,53.13,283.51,Sandstone
711.5,2.34,31.58,53.99,279.1,Sandstone
712,2.37,29.77,54.83,272.41,Sandstone
712.5,2.38,29.38,55.56,261.36,Sandstone
713,2.37,29.85,55.07,251.39,Sandstone
713.5,2.35,30.7,53.29,247.73,Sandstone
714,2.34,31.58,51.43,246.88,Sandstone
714.5,2.32,32.28,50.28,242.6,Sandstone
715,2.3,33.25,50.56,232.78,Sandstone
715.5,2.28,34.56,51.97,221.69,Sandstone
716,2.25,35.78,54.67,215.44,Sandstone
716.5,2.25,35.74,56.91,216.04,Sandstone
717,2.28,34.55,57.53,222.16,Sandstone
717.5,2.3,33.16,56.33,230.59,Sandstone
718,2.31,32.81,54.76,238.92,Sandstone
718.5,2.3,33.32,53.71,246.23,Sandstone
719,2.29,33.75,52.61,250.19,Sandstone
719.5,2.3,33.52,50.52,248.32,Sandstone
720,2.32,32.56,47.33,240.87,Sandstone
720.5,2.34,31.23,44.17,232.53,Sandstone
721,2.36,30.09,41.84,228.88,Sandstone
721.5,2.37,29.74,41.08,229.95,Sandstone
722,2.36,30.34,41.44,233.07,Sandstone
722.5,2.34,31.41,42.99,236.59,Sandstone
723,2.32,32.26,44.43,241.05,Sandstone
723.5,2.32,32.44,44.92,247.46,Sandstone
724,2.33,31.97,44.02,253.65,Sandstone
724.5,2.34,31.34,42.77,257.9,Sandstone
725,2.34,31.1,42.5,257.99,Sandstone
725.5,2.34,31.3,43.11,253.69,Sandstone
726,2.33,31.8,43.72,246.03,Sandstone
726.5,2.32,32.44,43.14,238.18,Sandstone
727,2.31,33.09,42.51,234.56,Sandstone
727.5,2.3,33.3,43.21,236.94,Sandstone
728,2.31,32.67,46,241.87,Sandstone
728.5,2.33,31.71,48.83,243.2,Sandstone
729,2.34,31.24,49.76,239.59,Sandstone
729.5,2.33,31.67,48.74,236.23,Sandstone
730,2.32,32.25,47.68,238.79,Sandstone
730.5,2.32,32.11,47.57,248.08,Sandstone
731,2.35,31.11,47.86,260.04,Sandstone
731.5,2.37,29.7,47.45,269.78,Sandstone
732,2.39,28.53,46.73,273.26,Sandstone
732.5,2.4,27.99,46.64,269.86,Sandstone
733,2.4,28.38,47.91,261.88,Sandstone
733.5,2.37,29.94,49.55,253.87,Sandstone
734,2.33,31.84,50.32,249.03,Sandstone
734.5,2.31,33.07,49.32,248.2,Sandstone
735,2.31,32.85,47.64,249.47,Sandstone
735.5,2.34,31.38,46.37,249.02,Sandstone
736,2.38,29.24,46.36,245.6,Sandstone
736.5,2.42,27.32,47.43,241.06,Sandstone
737,2.43,26.39,49.75,239.48,Sandstone
737.5,2.43,26.63,52.92,241.83,Sandstone
738,2.41,27.44,55.65,245.97,Sandstone
738.5,2.4,28.24,56.3,248.27,Sandstone
739,2.38,28.96,55.02,246.43,Sandstone
739.5,2.37,29.76,53.64,241.39,Sandstone
740,2.36,30.25,54.02,235.59,Sandstone
740.5,2.36,30.13,56.08,232.18,Sandstone
741,2.38,29.46,58.07,231.62,Sandstone
741.5,2.39,28.83,58.48,233.06,Sandstone
742,2.4,28.35,56.85,234.69,Sandstone
742.5,2.41,27.62,54.15,235.42,Sandstone
743,2.43,26.56,50.95,235.56,Sandstone
743.5,2.45,25.79,48.35,236.54,Sandstone
744,2.44,25.9,47.06,239.29,Sandstone
744.5,2.44,26.25,47.26,244,Sandstone
745,2.45,25.83,48.45,249.32,Sandstone
745.5,2.47,24.77,49.99,253.79,Sandstone
746,2.48,24.2,51.91,255.25,Sandstone
746.5,2.46,25.06,53.95,253.06,Sandstone
747,2.42,27.04,55.78,249.23,Sandstone
747.5,2.37,29.51,56.68,246.81,Sandstone
748,2.32,32.2,55.46,247.31,Sandstone
748.5,2.28,34.45,52.05,249,Sandstone
749,2.25,35.89,47.77,247.54,Sandstone
749.5,2.23,36.74,44.47,240.13,Sandstone
750,2.21,38.09,42.69,228.74,Sandstone
750.5,2.17,40.06,41.29,219.25,Sandstone
751,2.14,41.56,39.87,215.85,Sandstone
751.5,2.14,41.62,38.18,216.43,Sandstone
752,2.16,40.45,36.72,217.17,Sandstone
752.5,2.19,39.06,35.58,216.22,Sandstone
753,2.21,38.16,34.76,215.01,Sandstone
753.5,2.21,38.12,34.08,214.71,Sandstone
754,2.2,38.62,33.55,214.32,Sandstone
754.5,2.19,39.18,33.44,213.34,Sandstone
755,2.19,39.04,33.58,210.89,Sandstone
755.5,2.21,38.15,33.08,206.48,Sandstone
756,2.23,36.95,31.6,199.09,Sandstone
756.5,2.24,36.33,30.24,189.73,Sandstone
757,2.23,36.75,30.1,182.13,Sandstone
757.5,2.21,37.79,30.97,179.57,Sandstone
758,2.2,38.6,31.44,183.04,Sandstone
758.5,2.2,38.62,31.22,190.71,Sandstone
759,2.21,37.87,31.12,198.11,Sandstone
759.5,2.24,36.25,31.62,200.98,Sandstone
760,2.3,33.6,32.35,196.99,Sandstone
760.5,2.37,29.77,32.21,190.42,Sandstone
761,2.46,25.34,31.86,187.44,Sandstone
761.5,2.54,21.09,31.93,192.04,Sandstone
762,2.6,17.69,33.04,201.58,Sandstone
762.5,2.66,15.1,34.41,209.95,Sandstone
763,2.7,12.84,35.24,212.63,Sandstone
763.5,2.74,10.8,35.86,209.8,Sandstone
764,2.77,9.06,36.77,205.22,Sandstone
764.5,2.8,7.92,38.74,202.87,Sandstone
765,2.81,7.21,41.47,204.59,Sandstone
765.5,2.82,6.77,44.09,210.66,Sandstone
766,2.83,6.39,45.63,220.25,Sandstone
766.5,2.84,5.98,44.52,232.57,Sandstone
767,2.84,5.76,39.96,246.02,Sandstone
767.5,2.83,6.15,32.32,258.76,Sandstone
768,2.8,7.74,23.83,271.2,Sandstone
768.5,2.76,9.84,17.38,285.42,Basalt
769,2.73,11.28,14.07,302.61,Basalt
769.5,2.74,10.93,13.17,320.49,Basalt
770,2.78,8.7,12.88,336.29,Basalt
770.5,2.84,5.41,12.04,351.31,Basalt
771,2.91,2.06,10.71,367.22,Basalt
777,2.93,1.1,10.08,443.84,Basalt
777.5,2.9,2.4,9.25,456.37,Basalt
778,2.89,3.08,8.59,466.32,Basalt
778.5,2.89,2.82,8.17,473.18,Basalt
779,2.91,1.87,7.7,478.57,Basalt
779.5,2.94,0.71,7.13,484.38,Basalt
782.5,2.94,0.29,8.69,509.7,Basalt
783,2.93,1.01,8.84,505.66,Basalt
783.5,2.92,1.63,9.14,496.65,Basalt
784,2.9,2.49,9.51,488.11,Basalt
784.5,2.9,2.85,9.91,484.48,Basalt
785,2.91,2.24,10.06,488.25,Basalt
785.5,2.93,0.77,9.92,496,Basalt
794.5,2.9,2.2,8.64,565.15,Basalt
795,2.83,6.21,8.24,572.44,Basalt
795.5,2.76,9.54,8.38,568.98,Basalt
796,2.72,11.53,8.77,559.77,Basalt
796.5,2.71,12.25,9.08,554.06,Basalt
797,2.73,11.48,9.51,556.8,Basalt
797.5,2.76,9.47,9.95,564.36,Basalt
798,2.82,6.37,10.21,571.25,Basalt
798.5,2.89,3.03,9.96,573.18,Basalt
799,2.94,0.57,9.39,570.69,Basalt
800,2.94,0.73,8.21,561.32,Basalt
800.5,2.92,1.82,7.8,553.49,Basalt
801,2.91,1.95,7.7,535.7,Basalt
801.5,2.93,1.12,7.99,504.55,Basalt
809.5,2.94,0.49,10.28,520.84,Basalt
810,2.94,0.79,10.84,525.17,Basalt
810.5,2.93,0.95,10.91,531.96,Basalt
811,2.92,1.59,11,539.21,Basalt
811.5,2.9,2.48,11.04,542.83,Basalt
812,2.89,3.45,11.19,542.1,Basalt
812.5,2.84,5.61,10.88,540,Basalt
813,2.78,8.73,10.22,540.34,Basalt
813.5,2.73,11.4,9.58,544.04,Sandstone
814,2.73,11.4,9.42,551.15,Sandstone
814.5,2.77,9.01,9.8,558.86,Sandstone
815,2.84,5.59,10.19,564.61,Sandstone
815.5,2.9,2.47,10.35,566.83,Sandstone
816,2.94,0.52,10.51,566.52,Sandstone
847.5,2.91,1.99,8.67,769.42,Basalt
848,2.83,5.91,9.9,768.68,Basalt
848.5,2.77,9.3,10.75,726.36,Basalt
849,2.7,12.8,10.6,669.45,Basalt
849.5,2.6,17.85,9.48,627.54,Basalt
850,2.48,23.86,8.36,609.79,Basalt
850.5,2.41,27.8,7.98,605.85,Basalt
851,2.41,27.51,8.37,606.68,Basalt
851.5,2.5,22.8,9.15,610.27,Basalt
852,2.65,15.12,9.62,616.09,Basalt
852.5,2.81,7.15,9.8,623.82,Basalt
853,2.9,2.42,9.64,635.21,Basalt
853.5,2.89,3.21,9.7,650.02,Basalt
854,2.77,9.23,9.97,655.3,Basalt
854.5,2.59,18.38,10.68,630.57,Basalt
855,2.41,27.73,11.56,571.95,Basalt
855.5,2.27,35.07,12.56,501.65,Basalt
856,2.18,39.53,13.33,446.78,Basalt
856.5,2.14,41.57,14.16,412.24,Basalt
857,2.12,42.51,15.35,387.1,Basalt
857.5,2.1,43.35,16.47,366.42,Basalt
858,2.09,44.28,16.4,361.06,Basalt
858.5,2.08,44.71,14.58,383.96,Basalt
859,2.08,44.53,12.06,433.06,Basalt
859.5,2.1,43.86,10.15,489.38,Basalt
860,2.11,43.01,9.69,529.71,Basalt
860.5,2.13,42.13,10.89,542.29,Basalt
861,2.14,41.36,14.08,524.72,Basalt
861.5,2.15,41.07,20.16,479.12,Basalt
862,2.15,41.12,28.7,411.59,Basalt
862.5,2.15,41.31,37.99,340.19,Sandstone
863,2.13,42.02,45.14,286.38,Sandstone
863.5,2.07,45.2,48.54,260.01,Sandstone
864,1.93,52.44,48.75,253.97,Sandstone
864.5,1.74,61.86,46.79,256.3,Sandstone
865,1.59,69.91,44.72,259.95,Sandstone
865.5,1.49,74.96,44.03,263.1,Sandstone
866,1.45,77.2,45.53,264.73,Sandstone
866.5,1.43,77.75,47.63,265.2,Sandstone
867,1.44,77.26,48.38,267.29,Sandstone
867.5,1.47,75.88,47.72,272.22,Sandstone
868,1.52,73.23,47.35,277.86,Sandstone
868.5,1.6,69.32,48.19,279.38,Sandstone
869,1.69,64.67,50,274.85,Sandstone
869.5,1.78,60.19,51.5,265.87,Sandstone
870,1.84,56.78,51.66,254.73,Sandstone
870.5,1.87,55.31,48.82,240.75,Sandstone
871,1.86,56.02,42.69,221.34,Sandstone
871.5,1.83,57.64,34.21,197.29,Sandstone
872,1.81,58.47,25.72,174.46,Sandstone
872.5,1.82,57.99,18.89,158.8,Sandstone
873,1.83,57.32,15.19,151.06,Claystone
873.5,1.82,57.72,14.83,148.04,Claystone
874,1.79,59.45,17.94,148,Claystone
874.5,1.75,61.75,23.5,151.4,Claystone
875,1.7,64.27,30.4,158.52,Claystone
875.5,1.65,66.81,37.04,166.59,Claystone
876,1.61,69.01,42.06,172.09,Claystone
876.5,1.57,70.53,45.15,174.2,Claystone
877,1.56,71.41,46.83,175.49,Claystone
877.5,1.55,71.98,48.73,178.79,Claystone
878,1.54,72.19,51.22,183.31,Claystone
878.5,1.55,71.6,53.55,187.62,Claystone
879,1.59,69.59,54.22,190.23,Claystone
879.5,1.66,66.19,53.41,191.41,Claystone
880,1.74,62.13,52.38,190.96,Claystone
880.5,1.81,58.49,52.33,190.09,Claystone
881,1.86,55.72,52.73,190.75,Claystone
881.5,1.91,53.42,52.35,191.53,Claystone
882,1.95,51.43,50.47,190.37,Claystone
882.5,1.97,50.39,47.65,186.2,Claystone
883,1.95,51.25,45.55,181.77,Claystone
883.5,1.88,54.72,44.5,178.29,Claystone
884,1.77,60.58,44.31,173.75,Claystone
884.5,1.64,67.22,44.12,167.83,Claystone
885,1.54,72.42,44.02,162.12,Claystone
885.5,1.5,74.65,44.13,159.74,Claystone
886,1.52,73.55,44.86,161.34,Sandstone
886.5,1.59,69.59,46.06,165.64,Sandstone
887,1.7,63.85,47.39,170.56,Sandstone
887.5,1.81,58.18,48.09,174.16,Sandstone
888,1.88,55.03,48.44,177.88,Sandstone
888.5,1.86,56.11,49.42,183.34,Sandstone
889,1.78,60.12,50.9,190.57,Sandstone
889.5,1.71,63.72,51.97,197.11,Sandstone
890,1.68,64.95,50.69,200.4,Sandstone
890.5,1.7,63.93,46.33,197.45,Sandstone
891,1.74,62.28,39.37,186.32,Sandstone
891.5,1.75,61.62,32.19,169.96,Sandstone
892,1.74,62.13,27.38,156.21,Sandstone
892.5,1.73,62.66,26.34,152.17,Claystone
893,1.74,62.15,28.41,157.63,Claystone
893.5,1.76,60.85,32.51,167.52,Claystone
894,1.78,60.11,37.59,176.09,Claystone
894.5,1.77,60.57,42.56,181.1,Claystone
895,1.76,61.2,46.11,182.44,Claystone
895.5,1.78,60.15,47.12,180.63,Claystone
896,1.85,56.49,46.44,177.69,Claystone
896.5,1.97,50.45,45.74,176.87,Claystone
897,2.11,43.23,46.4,181.34,Claystone
897.5,2.24,36.3,48.19,189.11,Claystone
898,2.36,30.03,49.66,194.39,Claystone
898.5,2.48,24.17,50.57,192.36,Claystone
899,2.59,18.67,51.11,184.66,Claystone
899.5,2.66,14.72,52.69,176.88,Claystone
900,2.7,12.71,54.79,173.13,Claystone
900.5,2.72,11.66,56.19,173.07,Claystone
901,2.75,10.46,55.6,173.92,Claystone
901.5,2.77,9.26,52.86,174.73,Claystone
902,2.79,8.49,49.57,177.21,Claystone
902.5,2.79,8.29,46.42,185.76,Claystone
903,2.79,8.07,43.66,203.88,Claystone
903.5,2.8,7.51,40.28,230.89,Claystone
904,2.83,6.28,35.59,262.17,Claystone
904.5,2.86,4.58,29.68,292.12,Claystone
905,2.89,3.11,23.31,319.01,Claystone
905.5,2.9,2.37,17.84,341.05,Basalt
906,2.91,2.13,14.22,355.96,Basalt
906.5,2.91,2.1,12.46,362.75,Basalt
907,2.91,2.24,11.57,367.02,Basalt
907.5,2.9,2.51,10.9,374.88,Basalt
908,2.91,2.14,10.53,386.68,Basalt
908.5,2.94,0.62,10.83,396.3,Basalt
924,2.83,5.93,12.75,592.68,Basalt
924.5,2.62,16.72,13.32,593.22,Basalt
925,2.49,23.33,13.57,589.07,Basalt
925.5,2.46,25.17,13.37,582.35,Basalt
926,2.5,22.95,12.81,578.84,Basalt
926.5,2.59,18.54,12.06,580.65,Basalt
927,2.68,13.82,11.24,585.31,Basalt
927.5,2.75,10.19,10.63,587.12,Basalt
928,2.8,7.52,10.17,586.1,Basalt
928.5,2.86,4.87,10.01,583.63,Basalt
929,2.91,2.15,10.07,580.42,Basalt
941,2.92,1.79,9.62,519.52,Basalt
941.5,2.89,2.96,9.76,531.7,Basalt
942,2.88,3.51,9.55,554.43,Basalt
942.5,2.87,3.93,9.5,578.86,Basalt
943,2.86,4.55,9.78,597.36,Basalt
943.5,2.84,5.38,10.09,607.3,Basalt
944,2.81,7.06,9.68,611.93,Basalt
944.5,2.75,10.12,8.93,615.24,Basalt
945,2.68,13.82,8.44,619.53,Basalt
945.5,2.63,16.35,8.65,624.24,Basalt
946,2.62,17.05,9.34,630.3,Basalt
946.5,2.62,16.63,10.13,640.55,Basalt
947,2.63,16.38,10.61,653.26,Basalt
947.5,2.63,16.38,10.32,662.01,Basalt
948,2.64,16.1,9.44,660.19,Basalt
948.5,2.66,15.01,8.74,649.68,Basalt
949,2.69,13.54,8.77,636.36,Basalt
949.5,2.71,12.45,9.3,619.33,Basalt
950,2.71,12.12,9.74,589.51,Basalt
950.5,2.72,11.97,9.66,539.34,Basalt
951,2.74,10.91,9.25,473.3,Basalt
951.5,2.77,8.92,9.07,406.94,Basalt
952,2.82,6.72,9.52,357.73,Basalt
952.5,2.85,5.44,10.37,334.38,Basalt
953,2.86,4.84,11,333.22,Basalt
953.5,2.86,4.73,11.08,342.34,Basalt
954,2.85,5.29,10.81,352.28,Basalt
954.5,2.81,7.13,10.56,358.55,Basalt
955,2.76,9.7,10.47,361.69,Basalt
955.5,2.72,11.54,10.49,363.01,Basalt
956,2.72,11.65,10.34,364.12,Basalt
956.5,2.75,10.14,10.06,366.02,Basalt
957,2.79,8.29,9.69,371.25,Basalt
957.5,2.81,7.22,9.42,383.66,Basalt
958,2.8,7.55,9.31,405.46,Basalt
958.5,2.78,8.84,9.48,433.36,Basalt
959,2.74,10.65,9.82,458.34,Basalt
959.5,2.71,12.01,10.05,472.55,Basalt
960,2.71,12.07,9.75,474.76,Basalt
960.5,2.75,10.39,9.05,473,Basalt
961,2.8,7.78,8.32,476.83,Basalt
961.5,2.85,5.46,8.21,487.56,Basalt
962,2.87,4.22,8.72,500.34,Basalt
962.5,2.87,3.94,9.47,507.77,Basalt
963,2.86,4.37,9.89,509.19,Basalt
963.5,2.84,5.33,9.86,508.78,Basalt
964,2.83,6.13,9.63,511.09,Basalt
964.5,2.82,6.51,9.27,517.92,Basalt
965,2.82,6.54,8.7,524.7,Basalt
965.5,2.82,6.68,8.04,529.52,Basalt
966,2.82,6.74,7.85,532.73,Basalt
966.5,2.82,6.54,8.57,536.23,Basalt
967,2.83,6.24,9.79,538.88,Basalt
967.5,2.83,6.26,10.63,538.56,Basalt
968,2.82,6.8,10.66,536.19,Basalt
968.5,2.8,7.53,10.36,532.78,Basalt
969,2.79,8.01,10.29,528.94,Basalt
969.5,2.79,8.19,10.21,525.14,Basalt
970,2.79,8.38,9.95,526.2,Basalt
970.5,2.78,8.71,9.47,535.52,Basalt
971,2.78,8.63,9.19,550.84,Basalt
971.5,2.81,7.29,9.02,564.38,Basalt
972,2.86,4.47,8.71,571.44,Basalt
972.5,2.92,1.44,8.26,573.68,Basalt
973,2.95,0.23,8.14,574.93,Basalt
973.5,2.92,1.51,9.06,574.93,Basalt
974,2.89,3.07,10.69,570.38,Basalt
974.5,2.88,3.51,11.98,562.86,Basalt
975,2.89,3.06,12.02,559.56,Basalt
975.5,2.9,2.75,11.12,567.26,Basalt
976,2.9,2.76,10.2,581.51,Basalt
976.5,2.89,2.98,9.41,592.34,Basalt
977,2.89,3.1,8.77,592.16,Basalt
977.5,2.89,2.87,8.11,584.07,Basalt
978,2.9,2.38,7.96,574.89,Basalt
978.5,2.91,2.04,8.41,569.67,Basalt
979,2.91,1.97,8.99,565.22,Basalt
979.5,2.92,1.61,9.14,555.4,Basalt
980,2.94,0.68,8.74,539.28,Basalt
980.5,2.95,0.02,8.44,526.7,Basalt
981,2.93,0.78,8.48,529.43,Basalt
981.5,2.88,3.63,8.85,547.31,Basalt
982,2.78,8.99,9.35,569.51,Basalt
982.5,2.65,15.6,9.8,585.98,Basalt
983,2.54,20.9,9.79,596.91,Basalt
983.5,2.5,22.91,9.43,605.56,Basalt
984,2.52,21.8,9.11,615.76,Basalt
984.5,2.58,18.68,9.25,627.2,Basalt
985,2.66,14.66,9.48,639.52,Basalt
985.5,2.75,9.98,9.34,649.84,Basalt
986,2.85,5.14,8.9,655.37,Basalt
986.5,2.93,1.19,8.59,653.69,Basalt
992,2.94,0.82,9.5,367.92,Basalt
992.5,2.87,4.18,9.51,393.43,Basalt
993,2.76,9.81,9.11,427.56,Basalt
993.5,2.61,17.46,8.3,467.84,Basalt
994,2.46,25.16,7.71,510.84,Basalt
994.5,2.36,30.46,7.84,555.56,Basalt
995,2.32,32.38,8.61,603.79,Basalt
995.5,2.35,30.85,9.32,654.08,Basalt
996,2.43,26.91,9.64,703.63,Basalt
996.5,2.52,22.34,9.53,748.53,Basalt
997,2.58,19.16,9.5,786.16,Basalt
997.5,2.61,17.56,9.64,809.07,Basalt
998,2.64,16.14,9.94,804.19,Basalt
998.5,2.68,13.96,10.4,763.76,Basalt
999,2.74,11.02,11.35,695,Basalt
999.5,2.79,8.12,13.57,613.03,Basalt
1000,2.85,5.43,17.75,526.04,Basalt
1000.5,2.89,3.26,24.55,439.54,Siltstone
1001,2.92,1.53,32.89,364.09,Siltstone
1001.5,2.94,0.48,40.04,316.43,Basalt
1004.5,2.95,0.34,17.74,368.01,Basalt
1005,2.92,1.73,15.75,379.79,Basalt
1005.5,2.87,3.9,14.28,392.49,Basalt
1006,2.81,6.98,12.96,405.13,Basalt
1006.5,2.76,9.8,12.12,421.05,Basalt
1007,2.74,10.97,12.31,445.19,Basalt
1007.5,2.74,10.34,13.45,476.85,Basalt
1008,2.78,8.85,14.75,508.47,Basalt
1008.5,2.81,6.83,15.61,530.27,Basalt
1009,2.87,4.27,15.89,539.27,Basalt
1009.5,2.92,1.59,16.07,538.5,Basalt
1010,2.94,0.64,16.48,535.15,Basalt
1010.5,2.91,2.27,16.83,534.53,Basalt
1011,2.85,5.27,16.82,535.1,Basalt
1011.5,2.8,7.8,16.5,530.54,Basalt
1012,2.76,9.97,16.39,511.16,Basalt
1012.5,2.71,12.19,16.6,475.56,Basalt
1013,2.67,14.05,17.02,431.22,Basalt
1013.5,2.67,14.09,17.59,393.56,Basalt
1014,2.71,12.05,18.35,371.17,Basalt
1014.5,2.77,8.99,19.01,363.25,Basalt
1015,2.82,6.28,19.07,365.53,Basalt
1015.5,2.86,4.34,18.13,375.2,Basalt
1016,2.89,2.99,16.47,392.95,Basalt
1016.5,2.91,1.97,15.13,414.91,Basalt
1017,2.93,0.94,14.74,433.69,Basalt
1029,2.9,2.4,14.25,508.58,Basalt
