DEPTH,DENSITY,DENPOR,GAMMA,NEUTRON,INDEX
m,g/m3,%,API,API,Rock types
3024,2.9,2.78,11.97,459.47,Basalt
3024.5,2.9,2.66,12.51,474.38,Basalt
3025,2.9,2.63,12.68,490.76,Basalt
3025.5,2.91,1.84,11.64,509.71,Basalt
3026,2.94,0.4,10.15,533.25,Basalt
3029,2.91,2.27,9.45,670.25,Basalt
3029.5,2.8,7.87,9.96,684.25,Basalt
3030,2.66,15.01,10.2,714.82,Basalt
3030.5,2.51,22.68,10.08,770,Basalt
3031,2.4,28.14,9.9,844.23,Basalt
3031.5,2.37,29.68,9.82,921.19,Basalt
3032,2.42,27.2,10,984.22,Basalt
3032.5,2.51,22.4,10.32,1023.16,Basalt
3033,2.6,17.8,10.84,1030.6,Basalt
3033.5,2.66,14.97,11.29,995.44,Basalt
3034,2.69,13.01,11.84,909.99,Basalt
3034.5,2.75,10.52,13.05,783.43,Basalt
3035,2.8,7.71,15.27,645.25,Basalt
3035.5,2.84,5.37,17.66,532.16,Basalt
3036,2.88,3.88,18.75,468.09,Basalt
3036.5,2.89,3.14,17.95,454.32,Basalt
3037,2.89,3,15.94,470.8,Basalt
3037.5,2.88,3.43,13.7,496.12,Basalt
3038,2.86,4.83,11.89,522.51,Basalt
3038.5,2.8,7.62,10.8,556.05,Basalt
3039,2.72,11.89,10.51,602.21,Basalt
3039.5,2.63,16.4,10.83,659.38,Basalt
3040,2.55,20.24,11.34,719.1,Basalt
3040.5,2.51,22.55,11.64,768.24,Basalt
3041,2.49,23.47,11.69,791.11,Basalt
3041.5,2.5,23.02,11.62,777.26,Basalt
3042,2.53,21.57,11.6,729.94,Basalt
3042.5,2.57,19.41,11.8,662.15,Basalt
3043,2.62,17.09,12.24,590.85,Basalt
3043.5,2.66,14.92,12.88,530.09,Basalt
3044,2.7,13.02,13.18,486.82,Basalt
3044.5,2.73,11.21,12.92,459.72,Basalt
3045,2.76,9.49,12.19,442.41,Basalt
3045.5,2.79,7.99,11.45,433.06,Basalt
3046,2.81,7.04,11.06,433.47,Basalt
3046.5,2.81,6.99,10.88,443.86,Basalt
3047,2.79,8.08,10.79,459.9,Basalt
3049.5,2.77,9.14,10.37,556.31,Basalt
3050,2.82,6.79,10.39,589.83,Basalt
3050.5,2.88,3.71,10.22,623.83,Basalt
3051,2.94,0.36,9.9,649.3,Basalt
3053.5,2.94,0.58,11.1,649.5,Basalt
3054,2.93,1.13,11.86,650.48,Basalt
3054.5,2.92,1.52,12.33,666.73,Basalt
3055,2.92,1.49,12.09,698.31,Basalt
3055.5,2.93,1.18,11.32,732.33,Basalt
3056,2.93,1.13,10.81,755.45,Basalt
3056.5,2.91,2.24,10.77,761.22,Basalt
3057,2.84,5.52,10.82,753.06,Basalt
3057.5,2.73,11.28,10.6,741.22,Basalt
3058,2.6,17.83,9.96,731.88,Basalt
3058.5,2.51,22.44,8.92,727.37,Basalt
3059,2.48,24.01,7.9,724.96,Basalt
3059.5,2.5,22.93,7.39,726.5,Basalt
3060,2.55,20.82,7.4,734.27,Basalt
3060.5,2.57,19.39,7.63,747.2,Basalt
3061,2.57,19.4,7.94,759.25,Basalt
3061.5,2.55,20.39,8.85,757.39,Basalt
3062,2.53,21.29,10.43,726.64,Basalt
3062.5,2.53,21.23,12.34,661.95,Basalt
3063,2.56,19.75,13.63,582.39,Basalt
3063.5,2.61,17.2,13.81,518.84,Basalt
3064,2.66,14.63,12.85,487.65,Basalt
3064.5,2.7,12.94,11.48,478.9,Basalt
3065,2.71,12.08,10.29,475.96,Basalt
3065.5,2.72,11.52,9.66,472.83,Basalt
3066,2.74,10.86,9.76,470.95,Basalt
3066.5,2.76,9.98,10.58,469.89,Basalt
3067,2.77,9.32,11.78,467.34,Basalt
