1967.0,3.08,-6.62,10.8,832.88,0.0
1967.5,3.09,-7.12,11.08,827.31,0.0
1968.0,3.08,-6.76,11.38,820.57,0.0
1968.5,3.06,-5.87,11.58,819.86,0.0
1969.0,3.06,-5.71,11.37,834.9,0.0
1969.5,3.09,-7.36,11.17,867.59,0.0
1970.0,3.16,-10.85,11.26,910.14,0.0
1970.5,3.23,-14.4,11.88,951.0,0.0
1971.0,3.26,-15.83,12.44,989.91,0.0
1971.5,3.24,-14.76,12.41,1033.07,0.0
1972.0,3.2,-13.16,11.94,1082.5,0.0
1972.5,3.21,-13.1,11.44,1127.35,0.0
1973.0,3.22,-13.74,11.47,1154.97,0.0
1973.5,3.21,-13.57,11.77,1164.28,0.0
1974.0,3.17,-11.26,12.08,1166.01,0.0
1974.5,3.11,-7.95,12.3,1169.53,0.0
1975.0,3.05,-5.29,12.73,1175.66,0.0
1975.5,3.03,-3.85,13.66,1183.03,0.0
1976.0,3.01,-3.12,14.59,1192.23,0.0
1976.5,3.0,-2.44,14.84,1202.34,0.0
1977.0,2.98,-1.62,14.37,1204.55,0.0
1977.5,2.97,-0.98,13.75,1191.85,0.0
1978.0,2.96,-0.71,13.47,1164.07,0.0
1978.5,2.96,-0.61,13.65,1127.39,0.0
1979.0,2.96,-0.79,13.93,1087.09,0.0
1979.5,2.97,-1.02,13.97,1045.45,0.0
1980.0,2.98,-1.61,13.21,1000.27,0.0
1980.5,3.0,-2.53,11.86,949.86,0.0
1981.0,3.02,-3.72,10.44,897.24,0.0
1981.5,3.04,-4.71,9.71,853.11,0.0
1982.0,3.04,-4.72,9.5,825.94,0.0
1982.5,3.03,-4.02,9.55,814.15,0.0
1983.0,3.0,-2.85,9.49,809.51,0.0
1983.5,2.99,-1.84,9.18,805.41,0.0
1984.0,2.96,-0.78,8.76,803.43,0.0
1984.5,2.94,0.3,8.39,805.95,0.0
1985.0,2.93,1.13,8.41,810.22,0.0
1985.5,2.92,1.56,8.52,810.8,0.0
1986.0,2.92,1.76,8.59,806.41,0.0
1986.5,2.91,2.2,8.63,802.7,0.0
1987.0,2.89,3.24,9.2,803.35,0.0
1987.5,2.86,4.69,10.13,805.66,0.0
1988.0,2.83,6.17,11.11,804.02,0.0
1988.5,2.81,7.18,11.66,797.07,0.0
1989.0,2.79,8.13,12.0,787.33,0.0
1989.5,2.76,9.45,12.44,778.86,0.0
1990.0,2.71,12.13,13.01,772.39,0.0
1990.5,2.61,17.4,13.31,768.65,0.0
1991.0,2.44,25.95,12.96,766.4,0.0
1991.5,2.25,36.12,12.19,764.49,0.0
1992.0,2.07,45.29,11.48,761.96,0.0
1992.5,1.91,53.27,11.12,758.93,0.0
1993.0,1.77,60.89,10.98,757.57,0.0
1993.5,1.63,67.95,10.9,757.77,0.0
1994.0,1.52,73.51,10.67,757.42,0.0
1994.5,1.44,77.53,10.17,753.71,0.0
1995.0,1.38,80.51,9.87,745.68,0.0
1995.5,1.34,82.5,10.52,732.0,0.0
1996.0,1.34,82.67,13.66,704.16,0.0
1996.5,1.38,80.35,21.15,650.02,0.0
1997.0,1.47,75.77,34.32,566.08,0.0
1997.5,1.58,70.16,51.13,469.58,0.0
1998.0,1.68,65.34,66.59,386.69,0.0
1998.5,1.73,62.5,74.6,330.39,0.0
2025.5,2.67,14.27,81.55,314.47,4.0
2026.0,2.72,12.18,78.6,319.8,4.0
2026.5,2.74,11.11,74.58,319.35,4.0
2027.0,2.75,10.4,68.43,319.16,4.0
2027.5,2.76,9.56,57.91,328.17,4.0
2028.0,2.78,8.59,44.16,350.19,4.0
2028.5,2.8,7.83,30.49,378.07,4.0
2029.0,2.8,7.66,20.92,403.68,4.0
2029.5,2.79,8.27,15.72,426.82,0.0
2030.0,2.78,8.7,13.3,455.34,0.0
2030.5,2.8,7.73,12.19,495.75,0.0
2031.0,2.85,5.27,11.71,544.0,0.0
2031.5,2.89,2.88,11.62,588.91,0.0
2032.0,2.91,2.07,11.4,619.0,0.0
2032.5,2.9,2.56,11.09,633.62,0.0
2033.0,2.88,3.5,11.0,643.21,0.0
2033.5,2.86,4.9,11.12,659.6,0.0
2034.0,2.8,7.54,11.03,682.52,0.0
2034.5,2.73,11.41,10.6,698.07,0.0
2035.0,2.63,16.32,10.09,692.33,0.0
2035.5,2.53,21.68,9.74,667.86,0.0
2036.0,2.44,26.25,9.91,647.11,0.0
2036.5,2.39,28.95,10.31,651.58,0.0
2037.0,2.38,29.43,10.7,681.06,0.0
2037.5,2.4,28.28,10.59,711.72,0.0
2038.0,2.43,26.54,10.04,719.98,0.0
2038.5,2.46,25.3,9.41,703.14,0.0
2039.0,2.45,25.6,8.94,674.09,0.0
2039.5,2.42,26.91,8.91,646.26,0.0
2040.0,2.4,27.98,9.62,617.51,0.0
2040.5,2.41,27.48,10.97,578.23,0.0
2041.0,2.46,25.19,12.38,524.15,0.0
2041.5,2.52,21.85,13.16,465.77,0.0
2042.0,2.59,18.31,13.36,422.0,0.0
2042.5,2.64,15.74,13.38,403.58,0.0
2043.0,2.66,14.84,13.31,407.25,0.0
2043.5,2.64,15.93,12.88,419.36,0.0
2044.0,2.59,18.5,11.88,427.37,0.0
2044.5,2.53,21.27,10.87,427.38,0.0
2045.0,2.49,23.33,10.42,423.6,0.0
2045.5,2.48,24.19,10.69,424.67,0.0
2046.0,2.48,24.28,11.23,439.16,0.0
2046.5,2.48,24.24,11.88,469.85,0.0
2047.0,2.48,23.96,12.56,513.02,0.0
2047.5,2.51,22.81,13.06,558.33,0.0
2048.0,2.55,20.37,13.03,590.9,0.0
2048.5,2.61,17.17,12.5,597.77,0.0
2049.0,2.67,14.29,11.84,574.66,0.0
2049.5,2.71,12.4,11.35,533.34,0.0
2050.0,2.72,11.52,11.19,491.29,0.0
2050.5,2.74,10.65,11.36,459.98,0.0
2051.0,2.77,9.56,11.89,442.22,0.0
2051.5,2.79,8.23,12.66,437.11,0.0
2052.0,2.81,7.3,13.84,443.41,0.0
2052.5,2.82,6.63,14.8,458.04,0.0
2053.0,2.83,6.08,15.67,474.96,0.0
2053.5,2.84,5.58,15.79,492.66,0.0
2054.0,2.85,5.14,15.64,512.88,0.0
2054.5,2.86,4.66,15.09,537.8,0.0
2055.0,2.87,4.06,14.42,560.84,0.0
2055.5,2.88,3.55,13.9,573.47,0.0
2056.0,2.89,3.04,13.36,575.79,0.0
2056.5,2.91,2.33,12.78,576.46,0.0
2057.0,2.92,1.52,11.85,583.82,0.0
2057.5,2.93,1.05,11.07,595.81,0.0
2058.0,2.93,1.2,11.02,604.58,0.0
2058.5,2.91,2.16,11.71,603.65,0.0
2059.0,2.86,4.64,12.43,594.97,0.0
2059.5,2.78,8.49,12.56,588.47,0.0
2060.0,2.72,11.85,12.31,595.77,0.0
2060.5,2.7,12.69,12.59,622.29,0.0
2061.0,2.74,11.03,13.72,665.17,0.0
2061.5,2.79,8.31,15.21,717.16,0.0
2062.0,2.83,5.95,16.02,771.64,0.0
2062.5,2.88,3.53,15.79,830.21,0.0
