Depth,GR, Temp,Pressure,Rd,Rs,Vp,Vs,INDEX
m,API,C,Mpa,Ohmm,Ohmm,m/s,m/s,Rock types
735.14,20.928,14.8593,6.406,796.031,836.989,-999.25,1704.55,Basalt
735.24,21.5658,14.8591,6.40695,623.555,620.735,-999.25,2003.21,Basalt
735.34,21.9423,14.8589,6.40788,376.71,373.036,-999.25,-999.25,Basalt
735.44,21.9106,14.8588,6.40882,182.131,204.434,-999.25,-999.25,Basalt
735.54,21.5097,14.8589,6.40973,115.533,166.222,-999.25,-999.25,Basalt
735.64,20.8674,14.8589,6.41073,174.961,252.5,-999.25,-999.25,Basalt
735.74,20.1145,14.8589,6.41165,320.473,425.223,-999.25,-999.25,Basalt
735.84,19.3078,14.8588,6.41261,501.712,618.247,-999.25,-999.25,Basalt
735.94,18.6706,14.8587,6.41357,661.151,756.32,-999.25,-999.25,Basalt
736.04,18.4267,14.8585,6.41454,757.952,806.09,-999.25,-999.25,Basalt
736.14,18.5833,14.8584,6.41539,790.436,790.343,-999.25,-999.25,Basalt
736.24,19.0029,14.8584,6.41633,783.562,747.854,-999.25,-999.25,Basalt
736.34,19.4561,14.8584,6.41729,759.642,696.281,-999.25,-999.25,Basalt
736.44,19.8334,14.8585,6.4183,722.763,632.264,-999.25,-999.25,Basalt
736.54,20.0598,14.8585,6.41922,657.68,545.684,-999.25,-999.25,Basalt
736.64,20.0955,14.8586,6.42021,546.734,432.905,-999.25,-999.25,Basalt
736.74,19.9864,14.8588,6.42099,397.85,307.847,-999.25,-999.25,Basalt
736.84,19.6978,14.8591,6.42195,249.231,198.351,-999.25,-999.25,Basalt
736.94,19.2712,14.8593,6.42292,141.488,127.137,-999.25,-999.25,Basalt
737.04,18.9069,14.8596,6.42386,88.8114,99.2317,-999.25,-999.25,Basalt
737.14,18.7728,14.8597,6.42482,87.8355,116.81,-999.25,-999.25,Basalt
737.24,18.9394,14.8598,6.42574,136.006,184.891,-999.25,-999.25,Basalt
737.34,19.2079,14.8598,6.4267,223.229,290.45,-999.25,-999.25,Basalt
737.44,19.3715,14.8598,6.42767,316.354,391.035,-999.25,-999.25,Basalt
737.54,19.469,14.8598,6.4286,378.289,447.797,-999.25,-999.25,Basalt
737.64,19.5919,14.8598,6.42949,401.155,462.043,-999.25,-999.25,Basalt
737.74,19.8859,14.8598,6.43044,406.037,464.452,-999.25,-999.25,Basalt
737.84,20.4071,14.8598,6.43139,415.177,476.282,-999.25,-999.25,Basalt
737.94,21.0286,14.8598,6.43236,438.242,496.659,-999.25,-999.25,Basalt
738.04,21.5102,14.8598,6.43334,474.077,514.848,-999.25,-999.25,Basalt
738.14,21.496,14.8598,6.43426,508.748,515.642,-999.25,-999.25,Basalt
738.24,20.8716,14.8596,6.43525,517.473,478.894,-999.25,-999.25,Basalt
738.34,19.8821,14.8595,6.43626,481.085,396.169,-999.25,-999.25,Basalt
738.44,18.8528,14.8594,6.43717,401.978,287.436,-999.25,-999.25,Basalt
738.54,17.9648,14.8594,6.43809,302.742,189.859,-999.25,-999.25,Basalt
