Depth,GR,TEMP1,TEMP2,P,Rmud,Rd,Rs,Th,U,K,Vp,Vs,Vw,INDEX
m,API,C,C,MPa,Ohmm,Ohmm,Ohmm,ppm,ppm,%,m/s,m/s,m/s,Rock types
1290.9,17.7761,100.803,100.81,11.6048,1.6219,220.04,272.997,4.17806,0.30065,0.49454,4967.49,2776.66,1286.81,Basalt
1291,17.7066,100.81,100.81,11.6058,1.62182,230.869,288.867,4.77466,-999.25,0.54132,4967.48,2773.67,1287.77,Basalt
1291.1,17.7644,100.817,100.823,11.6067,1.62186,274.548,337.607,5.45721,-999.25,0.55859,4977.07,2776.66,1288.42,Basalt
1291.2,18.0005,100.823,100.823,11.6077,1.62153,360.399,412.693,5.97182,-999.25,0.52634,4981.88,2775.16,1290.03,Basalt
1291.3,18.3185,100.83,100.836,11.6087,1.62149,443.291,458.13,6.18513,-999.25,0.4456,4967.49,2773.67,1291,Basalt
1291.4,18.6853,100.837,100.85,11.6095,1.62125,456.76,422.512,6.08326,0.1639,0.3438,4977.07,2769.2,1293.91,Basalt
1291.5,18.9913,100.843,100.863,11.6105,1.62097,370.042,306.86,5.69662,0.46951,0.25056,4962.7,2767.71,1292.94,Basalt
1291.6,18.9213,100.85,100.863,11.6115,1.62081,220.679,164.88,5.03686,0.73387,0.18276,5006.07,2779.65,1296.19,Basalt
1291.7,18.3266,100.856,100.876,11.6124,1.62098,89.0866,62.8761,4.16826,0.94644,0.14954,5045.25,2800.79,1299.79,Basalt
1291.8,17.3464,100.864,100.89,11.6133,1.62069,26.9461,25.218,3.23113,1.11372,0.14754,5070.06,2816.08,1300.77,Basalt
1291.9,16.281,100.872,100.89,11.6143,1.62042,19.9218,25.7219,2.46035,1.21813,0.16673,5080.05,2823.79,1303.73,Basalt
1292,15.5229,100.881,100.903,11.6152,1.62021,27.7178,32.1182,2.10826,1.23063,0.19234,5090.08,2833.1,1303.07,Basalt
1292.1,15.3589,100.89,100.916,11.6162,1.62046,31.1148,34.1254,2.22633,1.16375,0.21078,5125.5,2858.23,1302.41,Basalt
1292.2,15.7696,100.899,100.916,11.6171,1.62013,30.749,33.0619,2.63425,1.06387,0.21971,5171.77,2906.57,1299.79,Basalt
1292.3,16.4227,100.908,100.93,11.618,1.62002,28.6935,30.5305,3.09146,0.97242,0.22428,5203.08,2949.8,1304.72,Basalt
