Depth,Gamma,Temp_1,Temp_2,P,Rmud,Rs,Rd,Th,U,K,Vs,Vp,INDEX
m,API,C,C,Mpa,Ohmm,Ohmm,Ohmm,ppm,ppm,%,m/s,m/s,Rock types
9.375,15.4778,28.5229,-999.25,-999.25,-999.25,-999.25,-999.25,2.88106,-0.0589393,0.547854,-999.25,-999.25,Basalt
9.475,15.1885,28.5229,-999.25,-999.25,-999.25,-999.25,-999.25,2.39281,0.335753,0.469419,-999.25,-999.25,Basalt
9.575,14.953,28.5076,-999.25,-999.25,-999.25,-999.25,-999.25,1.99641,0.767085,0.356623,-999.25,-999.25,Basalt
9.675,14.875,28.5229,-999.25,-999.25,-999.25,-999.25,-999.25,1.79076,1.13022,0.234976,-999.25,-999.25,Basalt
9.775,15.0022,28.5076,-999.25,-999.25,-999.25,-999.25,-999.25,1.77353,1.36396,0.134687,-999.25,-999.25,Basalt
9.875,15.3219,28.5076,-999.25,-999.25,-999.25,-999.25,-999.25,1.83616,1.47988,0.0707744,-999.25,-999.25,Basalt
9.975,15.7097,28.5076,-999.25,-999.25,-999.25,-999.25,-999.25,1.8645,1.52485,0.0430003,-999.25,-999.25,Basalt
10.075,16.0375,28.5076,-999.25,-999.25,-999.25,-999.25,-999.25,1.78088,1.55353,0.0425002,-999.25,-999.25,Basalt
10.175,16.272,28.5076,-999.25,-999.25,-999.25,-999.25,-999.25,1.57478,1.60532,0.0585039,-999.25,-999.25,Basalt
10.275,16.4704,28.5076,-999.25,-999.25,-999.25,-999.25,-999.25,1.35162,1.66682,0.0833807,-999.25,-999.25,Basalt
10.375,16.7238,28.5076,-999.25,-999.25,-999.25,-999.25,-999.25,1.28222,1.68066,0.113429,-999.25,-999.25,Basalt
10.475,17.0991,28.5076,-999.25,-999.25,-999.25,-999.25,-999.25,1.48227,1.60436,0.14056,-999.25,-999.25,Basalt
10.575,17.5242,28.5076,-999.25,-999.25,-999.25,-999.25,-999.25,1.87637,1.46093,0.156284,-999.25,-999.25,Basalt
10.675,17.8114,28.5076,-999.25,-999.25,-999.25,-999.25,-999.25,2.28591,1.28453,0.165596,-999.25,-999.25,Basalt
10.775,17.7749,28.4924,-999.25,-999.25,-999.25,-999.25,-999.25,2.50469,1.11756,0.180255,-999.25,-999.25,Basalt
10.875,17.3765,28.5076,-999.25,-999.25,-999.25,-999.25,-999.25,2.41851,0.98626,0.213357,-999.25,-999.25,Basalt
10.975,16.7941,28.5076,-999.25,-999.25,-999.25,-999.25,-999.25,2.11871,0.885607,0.26746,-999.25,-999.25,Basalt
11.075,16.2807,28.5076,-999.25,-999.25,-999.25,-999.25,-999.25,1.85974,0.78082,0.330896,-999.25,-999.25,Basalt
11.175,15.9975,28.4924,-999.25,-999.25,-999.25,-999.25,-999.25,1.8478,0.64967,0.384969,-999.25,-999.25,Basalt
